1,1
2,1
3,1
4,1
5,2
6,2
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,1
16,1
17,1
18,1
19,2
20,1
21,4
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,9
38,2
39,2
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,2
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,2
70,1
71,4
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,9
96,1
97,1
98,2
99,1
100,1
101,1
102,1
103,1
104,2
105,2
106,1
107,1
108,1
109,1
110,1
111,2
112,1
113,1
114,1
115,1
116,1
117,1
118,2
119,1
120,4
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,2
148,1
149,1
150,2
151,1
152,1
153,1
154,1
155,2
156,2
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,1
165,1
166,1
167,1
168,1
169,2
170,1
171,4
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,9
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,2
199,1
200,1
